label_es,id,label_en
ABANDONO 20 AÑOS,1,Abandoned (20 years)
ABETO,2,Fir
ACELGA,3,Chard
ACEROLO,4,Azarole
ACHICORIA,5,Chicory
ADORMIDERA,6,Opium Poppy
AGRIMONIA,7,Agrimony
AJEDREA,8,Savory
AJENJO,9,Absinthe Wormwood
AJO,10,Garlic
ALBARICOQUERO,11,Apricot
ALBERJÓN,12,Bitter Vetch
ALCACHOFA,13,Artichoke
ALCORNOQUE,14,Cork Oak
ALFALFA,15,Alfalfa
ALFORFÓN,16,Buckwheat
ALGARROBA,17,Carob
ALHOLVA,18,Fenugreek
ALMENDRO,19,Almond
ALMENDRO-OLIVAR,20,Almond-Olive Intercropping
ALMORTA,21,Grass Pea
ALPISTE,22,Canary Grass
ALTRAMUZ,23,Lupin
ALTRAMUZ AMARILLO,24,Yellow Lupin
ALTRAMUZ AZUL,25,Blue Lupin
ALTRAMUZ BLANCO,26,White Lupin
ALTRAMUZ DULCE,27,Sweet Lupin
ALUBIA,28,Bean (Dry)
ALVERJA,29,Common Vetch
ALVERJA HÚNGARA,30,Hungarian Vetch
AMARANTO,31,Amaranth
ANIS DULCE,32,Anise
ANÍS DULCE,33,Anise
ANÍS ESTRELLADO,34,Star Anise
APIO,35,Celery
ARBOLES DE NAVIDAD,36,Christmas Trees
ARGÁN,37,Argan
ARRHENATHERUM,38,False Oat-grass
ARROZ,39,Rice
ARÁNDANO,40,Blueberry
AVELLANO,41,Hazelnut
AVENA,42,Oats
AZAFRAN,43,Saffron
BARBECHO CON ESPECIES MELÍFERAS,44,Fallow with Melliferous Species
BARBECHO DE BIODIVERSIDAD (INCLUYE MELÍFERAS),45,Biodiversity Fallow
BARBECHO MEDIOAMBIENTAL,46,Environmental Fallow
BARBECHO MEDIOAMBIENTAL ABANDONO 5 AÑOS,47,Environmental Fallow (5y Abandonment)
BARBECHO SEMILLADO,48,Sown Fallow
BARBECHO SIN PRODUCCION,49,Fallow Land (No Production)
BARBECHO TRADICIONAL,50,Traditional Fallow
BARDANA,51,Burdock
BERENJENA,52,Eggplant
BERZA,53,Collard Greens
BONIATO,54,Sweet Potato
BORRAJA,55,Borage
BROCOLINI,56,Broccolini
BRÓCOLI,57,Broccoli
CABECERA DE CULTIVO PERMANENTE,58,Permanent Crop Headland
CALABACÍN,59,Zucchini
CALABAZA,60,Pumpkin
CALABAZA DEL PEREGRINO,61,Calabash
CALENDULA,62,Marigold
CAMELINA,63,Camelina
CAQUI o PALOSANTO,64,Persimmon
CARDO,65,Thistle
CASTAÑO,66,Chestnut
CASTAÑO (FORESTAL),67,Chestnut (Forestry)
CAUPÍ,68,Cowpea
CEBADA,69,Barley
CEBOLLA,70,Onion
CEBOLLETA,71,Spring Onion
CEBOLLINO,72,Chives
CENTENO,73,Rye
CEREZO,74,Cherry
CHIRIVÍA,75,Parsnip
CHOPO,76,Poplar
CHUFA,77,Tiger Nut
CILANTRO,78,Coriander
CIRUELO,79,Plum
COL,80,Cabbage
COL CHINA,81,Chinese Cabbage
COL CRESPA,82,Kale (Curly)
COL DE BRUSELAS,83,Brussels Sprouts
COL MILÁN,84,Savoy Cabbage
COL ROJA O LOMBARDA,85,Red Cabbage
COLIFLOR,86,Cauliflower
COLIRRÁBANO,87,Kohlrabi
COLZA,88,Rapeseed
CROTALARIA JUNCEA,89,Sunn Hemp
CULTIVOS MIXTOS DE ESPECIES PRATENSES,90,Mixed Meadow Crops
CÁRTAMO,91,Safflower
CÁÑAMO,92,Hemp
DACTILO,93,Cocksfoot
DIENTE DE LEÓN,94,Dandelion
ENCINA,95,Holm Oak
ENDIVIA,96,Endive
ENDRINO,97,Blackthorn
ENEBRO,98,Juniper
ENELDO,99,Dill
EQUINACEA,100,Echinacea
ESCANDA,101,Emmer Wheat
ESCAROLA,102,Escarole
ESPARCETA,103,Sainfoin
ESPECIES AROMATICAS HERBACEAS,104,Herbaceous Aromatic Species
ESPECIES AROMÁTICAS HERBÁCEAS,105,Herbaceous Aromatic Species
ESPELTA,106,Spelt
ESPINACA,107,Spinach
ESPINACA DEL MALABAR,108,Malabar Spinach
ESPLIEGO,109,Lavender (Spike)
ESPÁRRAGO,110,Asparagus
EUCALIPTO,111,Eucalyptus
EUCALYPTUS,112,Eucalyptus
FESTUCA,113,Fescue
FLORES,114,Flowers
FORESTACIONES VINCULADAS AL REGLAMENTO 1257/1999,115,Afforestation (Reg. 1257/1999)
FORESTACIONES VINCULADAS AL REGLAMENTO 1698/2005,116,Afforestation (Reg. 1698/2005)
FORESTACIONES VINCULADAS AL REGLAMENTO Nº 1305/2013,117,Afforestation (Reg. 1305/2013)
FORESTACIONES VINCULADAS AL REGLAMENTO Nº 2080/1992,118,Afforestation (Reg. 2080/1992)
FRAMBUESA,119,Raspberry
FRESA,120,Strawberry
FRESNO,121,Ash Tree
FRUTOS DE CÁSCARA,122,Nuts
FRUTOS DEL BOSQUE,123,Berries
GARBANZO,124,Chickpea
GINSENG,125,Ginseng
