Year,Tile,Raw_File,Satellite,Product_Level,Acquisition_UTC,Processing_Baseline,Relative_Orbit,Tile_ID,Processing_UTC
2020,29TPE,S2B_MSIL2A_20200105T112349_N0500_R037_T29TPE_20230421T090201.SAFE.zip,S2B,MSIL2A,20200105T112349,0500,037,T29TPE,20230421T090201
2020,29TPE,S2A_MSIL2A_20200120T112401_N0500_R037_T29TPE_20230425T191939.SAFE.zip,S2A,MSIL2A,20200120T112401,0500,037,T29TPE,20230425T191939
2020,29TPE,S2A_MSIL2A_20200219T112111_N0500_R037_T29TPE_20230427T133506.SAFE.zip,S2A,MSIL2A,20200219T112111,0500,037,T29TPE,20230427T133506
2020,29TPE,S2B_MSIL2A_20200224T112109_N0500_R037_T29TPE_20230610T121810.SAFE.zip,S2B,MSIL2A,20200224T112109,0500,037,T29TPE,20230610T121810
2020,29TPE,S2A_MSIL2A_20200310T112111_N0500_R037_T29TPE_20230410T192515.SAFE.zip,S2A,MSIL2A,20200310T112111,0500,037,T29TPE,20230410T192515
2020,29TPE,S2B_MSIL2A_20200325T112109_N0500_R037_T29TPE_20230615T032630.SAFE.zip,S2B,MSIL2A,20200325T112109,0500,037,T29TPE,20230615T032630
2020,29TPE,S2A_MSIL2A_20200529T112121_N0500_R037_T29TPE_20230401T050957.SAFE.zip,S2A,MSIL2A,20200529T112121,0500,037,T29TPE,20230401T050957
2020,29TPE,S2A_MSIL2A_20200618T112121_N0500_R037_T29TPE_20230428T155508.SAFE.zip,S2A,MSIL2A,20200618T112121,0500,037,T29TPE,20230428T155508
2020,29TPE,S2B_MSIL2A_20200623T112119_N0500_R037_T29TPE_20230428T011512.SAFE.zip,S2B,MSIL2A,20200623T112119,0500,037,T29TPE,20230428T011512
2020,29TPE,S2A_MSIL2A_20200628T112121_N0500_R037_T29TPE_20230404T183214.SAFE.zip,S2A,MSIL2A,20200628T112121,0500,037,T29TPE,20230404T183214
2020,29TPE,S2B_MSIL2A_20200703T112119_N0500_R037_T29TPE_20230529T024553.SAFE.zip,S2B,MSIL2A,20200703T112119,0500,037,T29TPE,20230529T024553
2020,29TPE,S2A_MSIL2A_20200708T112121_N0500_R037_T29TPE_20230321T074649.SAFE.zip,S2A,MSIL2A,20200708T112121,0500,037,T29TPE,20230321T074649
2020,29TPE,S2A_MSIL2A_20200718T112121_N0500_R037_T29TPE_20230324T040905.SAFE.zip,S2A,MSIL2A,20200718T112121,0500,037,T29TPE,20230324T040905
